단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"대치풍림아이원1차",37.501695,127.054872,"아파트",200308,3,57,289,170000,185000,175000,,,,180,180,94.38,94.58,94,12,,1,13,,
"극동스타클래스(주상복합)",37.485197,127.036016,"아파트",200703,1,96,629,170000,215000,175000,110000,110000,,110,400,141.4,143.36,141,26,4,14,44,,
"푸른솔",37.517843,127.046105,"아파트",199604,1,61,291,175000,175000,175000,95000,95000,,,,82.24,106.08,82,1,3,,4,,
"학동씨엘타워",37.514883,127.032616,"분양",,,,,47759,295272,171515,,,,,,357.75,960.18,960.18,,,,,true,
"라디안",37.513091,127.02252,"아파트",200403,1,10,221,170000,170000,170000,,,,,,129.85,129.85,129,1,,,1,,
"로얄파크",37.484204,127.008541,"아파트",200502,1,13,232,170000,170000,170000,,,,,,151.2,151.2,151,1,,,1,,
"삼성대성유니드",37.50865,127.05402,"아파트",200407,1,59,231,169000,180000,170000,,,,,,99.63,103.57,103,4,,,6,,
"삼성지웰팰리스(주상복합)",37.511477,127.048867,"아파트",200512,1,16,748,170000,170000,170000,95000,95000,95000,365,400,103.53,144.59,144,1,2,6,9,,
"서초에지앙",37.494931,127.020929,"아파트",200611,1,19,335,170000,250000,170000,85000,95000,95000,,,117.3,204.64,139,4,11,,15,,
"쌍용",37.519716,127.038185,"아파트",199607,1,111,333,109000,170000,170000,59500,60000,,40,150,83.17,117.82,117,21,5,12,38,,
"건대입구역 더 라움 에비뉴",37.538751,127.069809,"분양",,,,,45011,286286,165648,,,,,,1847.84,5369.14,5369.14,,,,,true,
"서초엔-스위트1차",37.487224,127.007608,"아파트",200409,2,36,244,163000,165000,165000,100000,100000,100000,,,135.54,135.68,135,12,3,,15,,
"동원스위트뷰역삼",37.496877,127.037138,"아파트",201712,1,28,199,145000,165000,165000,,,,345,350,84.46,93.16,93,3,,4,7,,
"청담디에브스",37.522862,127.049146,"아파트",201708,1,18,227,114000,155000,155000,50000,75000,,400,450,63.16,152.31,152,11,5,2,18,,
"아츠논현(도시형)",37.512201,127.036029,"아파트",202310,1,24,513,130000,160000,155000,50000,80000,80000,50,650,49.86,64.2,50,9,14,28,55,,
"잠원아이비",37.511717,127.016547,"아파트",200509,1,31,249,145000,153000,153000,70000,70000,70000,280,280,100.55,100.55,100,3,1,1,5,,
"역삼르비앙",37.49185,127.035286,"아파트",200311,1,12,255,152000,152000,152000,,,,,,167.34,167.34,167,2,,,2,,
"서초한빛삼성",37.488406,127.007863,"아파트",199911,2,264,281,149500,150000,150000,105000,125000,,100,320,84.96,140.87,84,4,4,4,12,,
"루시아도산208(도시형)",37.519658,127.029458,"아파트",202307,1,55,568,110000,160000,145000,62500,75000,66500,50,500,57.63,60.66,60,18,11,36,72,,
"레이어청담(도시형)",37.524601,127.047687,"아파트분양권",202509,1,28,470,143090,160000,143090,,,,,,77.83,79.59,77,6,,,6,,
"우성",37.507577,127.028082,"아파트",200407,1,14,239,140000,140000,140000,,,,,,113.74,113.74,113,1,,,1,,
"비젼(101동)",37.481383,127.039762,"아파트",200302,1,19,254,130000,140000,140000,,,,170,170,118.04,118.04,118,3,,1,4,,
"우성2차",37.533382,127.073933,"아파트",198907,3,405,232,100000,142000,140000,45000,62000,60000,30,90,69.25,96.43,96,80,44,15,139,,
"금광아크존(주상복합)",37.526553,127.034579,"아파트",200409,1,39,279,76000,140000,137500,,,,200,200,67.75,86.38,86,4,,4,8,,
