단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,매매매물수,전세매물수,월세매물수
"비젼(101동)",37.481383,127.039762,"아파트",200302,1,19,130000,140000,140000,,,,3,,1
"LH삼성(도시형)",37.515499,127.064002,"아파트",201308,1,47,,,,,,,,,1
"대치우정에쉐르2(주상복합)",37.504308,127.052611,"아파트",200405,1,18,85500,89000,86000,,,,8,,3
"도곡조이너스",37.487154,127.035075,"아파트",200804,1,26,,,,80000,80000,80000,,1,
"동원베네스트",37.485282,127.026641,"아파트",200211,2,126,190000,190000,190000,90000,105000,90000,1,4,7
"울트라멤버스",37.487689,127.046658,"아파트",200312,1,19,,,,140000,140000,140000,,11,
"끄레메빌",37.489829,127.020513,"아파트",199905,1,14,250000,260000,250000,150000,160000,150000,21,12,5
"썬-타워(도시형)",37.52112,127.031368,"아파트",201502,1,47,,,,,,,,,1
"새티스(1435-2)",37.484694,127.024082,"아파트",200311,1,18,130000,130000,130000,65000,67000,65000,5,12,
"토미빌(228-9)",37.508967,127.033855,"아파트",200302,3,24,190000,210000,199000,,,,9,,3
"한양수자인어반게이트(도시형)",37.509749,127.033574,"아파트",201306,1,108,20500,25000,22000,19000,19000,19000,5,3,2
"PH129",37.526054,127.054312,"아파트",202008,1,29,1500000,2500000,1800000,650000,1200000,700000,76,60,22
"삼성한양립스(주상복합)",37.506294,127.0518,"아파트",202201,1,28,67900,80000,79000,,,,15,,9
"대치풍림아이원1차",37.501695,127.054872,"아파트",200308,3,57,170000,185000,175000,,,,12,,1
"브라운스톤레전드(주상복합)",37.515451,127.042289,"아파트",200908,1,54,600000,700000,600000,,,,6,,
"위더스하임(도시형)",37.503397,127.009165,"아파트",201703,2,29,43000,62000,51500,40000,61000,45000,7,4,
"삼성지웰팰리스(주상복합)",37.511477,127.048867,"아파트",200512,1,16,170000,170000,170000,95000,95000,95000,1,2,6
"DK밸리뷰서초2차(도시형)",37.487901,127.013867,"아파트",202206,1,105,50000,67000,59000,,,,17,,16
"엠브이",37.49914,127.010255,"아파트",199407,1,154,164500,250000,205000,,,,41,,3
"청담대우유로카운티",37.523597,127.050059,"아파트",200404,4,196,270000,420000,310000,120000,150000,,85,6,10
"삼성포스코더샵(주상복합)",37.513084,127.054932,"아파트",200308,1,72,310000,590000,310000,185000,185000,,16,2,3
"동화(민간임대,도시형)",37.510668,127.023389,"아파트",201208,1,236,,,,,,,,,1
"청담디에브스",37.522862,127.049146,"아파트",201708,1,18,114000,155000,155000,50000,75000,,11,5,2
"청담스테이",37.519189,127.042292,"아파트",201802,1,16,60000,66000,66000,45500,47250,47250,6,3,5
"상지리츠빌6차",37.527753,127.050368,"아파트",200202,1,19,330000,330000,330000,200000,220000,200000,15,13,15
"연세리버빌3차",37.528429,127.048176,"아파트",199901,1,19,590000,850000,790000,350000,430000,370000,18,11,
"에비뉴나인티(도시형)",37.525186,127.042563,"아파트",202009,1,28,120000,180000,128000,110000,110000,110000,19,1,23
"현대3차",37.532421,127.032727,"아파트",197611,4,432,530000,640000,590000,79500,95000,85000,98,42,1
"반포훼밀리(103,104동)",37.509054,127.017035,"아파트",200305,2,47,203000,235000,235000,100000,100000,100000,4,2,
"레이어청담(도시형)",37.524601,127.047687,"아파트분양권",202509,1,28,143090,160000,143090,,,,6,,
"현대5차",37.532062,127.028466,"아파트",197712,2,224,630000,700000,670000,85000,90000,85000,59,20,6
"삼성중앙하이츠빌리지",37.516113,127.04615,"아파트",200412,5,298,264500,540000,450000,119500,125000,,25,7,4
